station_id,name,grid_row,grid_col,lat,lon,pm25,pm10,no2,air_quality_score,quality_category,category
AQ_00_00,"Cell [0,0]",0,0,48.11,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_01,"Cell [0,1]",0,1,48.11,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_02,"Cell [0,2]",0,2,48.11,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_03,"Cell [0,3]",0,3,48.11,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_04,"Cell [0,4]",0,4,48.11,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_05,"Cell [0,5]",0,5,48.11,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_00_06,"Cell [0,6]",0,6,48.11,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_00_07,"Cell [0,7]",0,7,48.11,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_00_08,"Cell [0,8]",0,8,48.11,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_01_00,"Cell [1,0]",1,0,48.12,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_01,"Cell [1,1]",1,1,48.12,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_02,"Cell [1,2]",1,2,48.12,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_03,"Cell [1,3]",1,3,48.12,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_04,"Cell [1,4]",1,4,48.12,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_05,"Cell [1,5]",1,5,48.12,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_01_06,"Cell [1,6]",1,6,48.12,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_01_07,"Cell [1,7]",1,7,48.12,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_01_08,"Cell [1,8]",1,8,48.12,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_02_00,"Cell [2,0]",2,0,48.13,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_01,"Cell [2,1]",2,1,48.13,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_02,"Cell [2,2]",2,2,48.13,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_03,"Cell [2,3]",2,3,48.13,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_04,"Cell [2,4]",2,4,48.13,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_05,"Cell [2,5]",2,5,48.13,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_02_06,"Cell [2,6]",2,6,48.13,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_02_07,"Cell [2,7]",2,7,48.13,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_02_08,"Cell [2,8]",2,8,48.13,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_03_00,"Cell [3,0]",3,0,48.14,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_01,"Cell [3,1]",3,1,48.14,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_02,"Cell [3,2]",3,2,48.14,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_03,"Cell [3,3]",3,3,48.14,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_04,"Cell [3,4]",3,4,48.14,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_05,"Cell [3,5]",3,5,48.14,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_03_06,"Cell [3,6]",3,6,48.14,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_03_07,"Cell [3,7]",3,7,48.14,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_03_08,"Cell [3,8]",3,8,48.14,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_04_00,"Cell [4,0]",4,0,48.15,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_01,"Cell [4,1]",4,1,48.15,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_02,"Cell [4,2]",4,2,48.15,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_03,"Cell [4,3]",4,3,48.15,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_04,"Cell [4,4]",4,4,48.15,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_05,"Cell [4,5]",4,5,48.15,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_04_06,"Cell [4,6]",4,6,48.15,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_04_07,"Cell [4,7]",4,7,48.15,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_04_08,"Cell [4,8]",4,8,48.15,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_05_00,"Cell [5,0]",5,0,48.16,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_01,"Cell [5,1]",5,1,48.16,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_02,"Cell [5,2]",5,2,48.16,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_03,"Cell [5,3]",5,3,48.16,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_04,"Cell [5,4]",5,4,48.16,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_05,"Cell [5,5]",5,5,48.16,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_05_06,"Cell [5,6]",5,6,48.16,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_05_07,"Cell [5,7]",5,7,48.16,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_05_08,"Cell [5,8]",5,8,48.16,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_06_00,"Cell [6,0]",6,0,48.17,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_01,"Cell [6,1]",6,1,48.17,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_02,"Cell [6,2]",6,2,48.17,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_03,"Cell [6,3]",6,3,48.17,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_04,"Cell [6,4]",6,4,48.17,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_05,"Cell [6,5]",6,5,48.17,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_06_06,"Cell [6,6]",6,6,48.17,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_06_07,"Cell [6,7]",6,7,48.17,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_06_08,"Cell [6,8]",6,8,48.17,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_07_00,"Cell [7,0]",7,0,48.18,11.54,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_01,"Cell [7,1]",7,1,48.18,11.55,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_02,"Cell [7,2]",7,2,48.18,11.56,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_03,"Cell [7,3]",7,3,48.18,11.57,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_04,"Cell [7,4]",7,4,48.18,11.58,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_05,"Cell [7,5]",7,5,48.18,11.59,15.0,24.1,53.7,80,Moderate,Air Quality
AQ_07_06,"Cell [7,6]",7,6,48.18,11.6,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_07_07,"Cell [7,7]",7,7,48.18,11.61,14.0,20.9,52.8,81,Moderate,Air Quality
AQ_07_08,"Cell [7,8]",7,8,48.18,11.62,14.0,20.9,52.8,81,Moderate,Air Quality
